epoch,train_loss,train_acc,test_acc,energy_normalized,bitwidth
1,0.15960084880416248,95.04,98.6,1.0,8.0
2,0.05096392233899833,98.495,98.86,1.0,8.0
3,0.03666457505812293,98.95833333333333,98.98,1.0,8.0
4,0.029907501205570466,99.09166666666667,99.22,1.0,8.0
5,0.023160189155945917,99.31166666666667,99.23,1.0,8.0
6,0.018639399924275976,99.42,99.33,1.0,8.0
7,0.016652038711097446,99.46833333333333,99.26,1.0,8.0
8,0.016010822558941526,99.48666666666666,99.34,1.0,8.0
9,0.011394849291311347,99.65833333333333,99.24,1.0,8.0
10,0.011162993246006702,99.65333333333334,99.33,1.0,8.0
11,0.010230708005975695,99.67,99.37,1.0,8.0
12,0.00779167287523777,99.75833333333334,99.43,1.0,8.0
13,0.0076881713525326295,99.755,99.19,1.0,8.0
14,0.007874657766089614,99.74333333333334,99.19,1.0,8.0
15,0.006336141629874828,99.79333333333334,99.35,1.0,8.0
16,0.005406799169626573,99.81666666666666,99.34,1.0,8.0
17,0.005816384462648867,99.78666666666666,99.29,1.0,8.0
18,0.005081945257865748,99.855,99.22,1.0,8.0
19,0.00432038306159296,99.85666666666667,99.53,1.0,8.0
20,0.005631652174026585,99.82833333333333,99.44,1.0,8.0
21,0.0033723347024505477,99.89333333333333,99.43,1.0,8.0
22,0.0028435188807202976,99.91666666666667,99.4,1.0,8.0
23,0.0037584088748933197,99.875,99.33,1.0,8.0
24,0.003395037425936385,99.885,99.4,1.0,8.0
25,0.003064250009525662,99.92333333333333,99.51,1.0,8.0
26,0.00267669828499155,99.90833333333333,99.37,1.0,8.0
27,0.002770722224544069,99.91333333333333,99.42,1.0,8.0
28,0.002177736243792628,99.93333333333334,99.26,1.0,8.0
29,0.0025576592401194754,99.92166666666667,99.43,1.0,8.0
30,0.0021207457452879913,99.92833333333333,99.41,1.0,8.0
31,0.0013293416522631506,99.95833333333333,99.48,1.0,8.0
32,0.0015060607428053928,99.95666666666666,99.36,1.0,8.0
33,0.001653452118959117,99.94833333333334,99.33,1.0,8.0
34,0.001186259748648421,99.965,99.44,1.0,8.0
35,0.001394443641116266,99.95166666666667,99.44,1.0,8.0
36,0.0013793500270264365,99.965,99.48,1.0,8.0
37,0.001467388997199761,99.95666666666666,99.48,1.0,8.0
38,0.0016960735852728618,99.95,99.47,1.0,8.0
39,0.0016835641868426523,99.94833333333334,99.5,1.0,8.0
40,0.0017515310995743407,99.945,99.45,1.0,8.0
41,0.000947608504188978,99.97166666666666,99.46,1.0,8.0
42,0.00130047569542384,99.94833333333334,99.42,1.0,8.0
43,0.001311639180651542,99.96,99.46,1.0,8.0
44,0.0009373227128538426,99.965,99.52,1.0,8.0
45,0.0013378986048847054,99.95666666666666,99.37,1.0,8.0
46,0.0020648793372912166,99.94333333333333,99.46,1.0,8.0
47,0.0009497286193294571,99.96666666666667,99.47,1.0,8.0
48,0.0009171825412620443,99.97166666666666,99.45,1.0,8.0
49,0.001335775484995826,99.97,99.45,1.0,8.0
50,0.0013665439609160915,99.95833333333333,99.43,1.0,8.0
51,0.0010726993027516509,99.95833333333333,99.44,1.0,8.0
52,0.0013633666039423674,99.95833333333333,99.5,1.0,8.0
53,0.0008915034747160482,99.97,99.54,1.0,8.0
54,0.0011291645143408381,99.955,99.52,1.0,8.0
55,0.001123627004663541,99.96333333333334,99.46,1.0,8.0
56,0.001140603015540533,99.96833333333333,99.49,1.0,8.0
57,0.001380580914233449,99.96166666666667,99.42,1.0,8.0
58,0.00153930109024472,99.95,99.49,1.0,8.0
59,0.0013223252767165486,99.95166666666667,99.54,1.0,8.0
60,0.00082681327641533,99.98166666666667,99.51,1.0,8.0
61,0.000964119844206051,99.96666666666667,99.54,1.0,8.0
62,0.000539541807582418,99.98666666666666,99.55,1.0,8.0
63,0.0013872923504666494,99.96,99.48,1.0,8.0
64,0.00037682922744670206,99.98666666666666,99.5,1.0,8.0
65,0.0006104778549428943,99.97833333333334,99.52,1.0,8.0
66,0.0006134996939194638,99.97833333333334,99.45,1.0,8.0
67,0.0013975292857286512,99.96166666666667,99.44,1.0,8.0
68,0.0013510528499301034,99.96166666666667,99.46,1.0,8.0
69,0.0006684562266525693,99.97666666666667,99.53,1.0,8.0
70,0.0009934745764754718,99.97333333333333,99.44,1.0,8.0
71,0.0009936425011782108,99.975,99.41,1.0,8.0
72,0.0004939838325575953,99.97833333333334,99.47,1.0,8.0
73,0.0010266651782586218,99.97333333333333,99.45,1.0,8.0
74,0.0007338142125924688,99.96666666666667,99.4,1.0,8.0
75,0.0005257294942314486,99.98333333333333,99.41,1.0,8.0
76,0.0007786653917545952,99.985,99.41,1.0,8.0
77,0.0007006242207356038,99.98166666666667,99.48,1.0,8.0
78,0.0006309285943262028,99.98166666666667,99.43,1.0,8.0
79,0.0006067055124425332,99.97333333333333,99.51,1.0,8.0
80,0.0008196773855978436,99.96666666666667,99.47,1.0,8.0
81,0.0007134537912978464,99.97666666666667,99.4,1.0,8.0
82,0.0006188524254778508,99.98,99.32,1.0,8.0
83,0.0010024212761793668,99.97166666666666,99.4,1.0,8.0
84,0.0007371459672207317,99.98,99.45,1.0,8.0
85,0.0006114237862053914,99.98666666666666,99.49,1.0,8.0
86,0.0007008497116454029,99.97166666666666,99.42,1.0,8.0
87,0.0007783567545956648,99.98333333333333,99.42,1.0,8.0
88,0.00044387819500631923,99.985,99.51,1.0,8.0
89,0.00043918696681566387,99.98833333333333,99.48,1.0,8.0
90,0.0003682348213484285,99.98166666666667,99.5,1.0,8.0
